"name","pname","version","patches","system","out","outputs","store_path","cpe","purl","urls"
"gcc-14.3.0","gcc","14.3.0","/nix/store/9577hmdlmhki67cg8ar85cvidyg7xr7p-gcc-12-no-sys-dirs.patch /nix/store/7x6bimj6ipi6ag859gi2fc6by87x37j7-no-sys-dirs-riscv.patch /nix/store/xpplvxiwb4li2qd5nvhyd2mngrpna0ya-mangle-NIX_STORE-in-__FILE__.patch /nix/store/632b0y5mkcdwbsw2g3xh5qznw2vv5axr-ppc-musl.patch /nix/store/3cj8qm3xjz1g5f7qnnxlc95i9imkicbk-cfi_startproc-reorder-label-14-1.diff","x86_64-linux","/nix/store/kzq78n13l8w24jn8bx4djj79k5j717f1-gcc-14.3.0","['/nix/store/kzq78n13l8w24jn8bx4djj79k5j717f1-gcc-14.3.0', '/nix/store/shs2lyjm5yv7fmg4pwyvrlv9zr4macmv-gcc-14.3.0-libgcc', '/nix/store/xm08aqdd7pxcdhm0ak6aqb1v7hw5q6ri-gcc-14.3.0-lib']","/nix/store/0230mn72rcg3jxz11gffnc2anvrrd1x4-gcc-14.3.0.drv","cpe:2.3:a:gcc:gcc:14.3.0:*:*:*:*:*:*:*","pkg:nix/gcc@14.3.0",""
"gcc-wrapper-14.3.0","gcc-wrapper","14.3.0","","x86_64-linux","/nix/store/vr15iyyykg9zai6fpgvhcgyw7gckl78w-gcc-wrapper-14.3.0","['/nix/store/vr15iyyykg9zai6fpgvhcgyw7gckl78w-gcc-wrapper-14.3.0']","/nix/store/xd09z9hp96djzb97y37k6pfmd12w3509-gcc-wrapper-14.3.0.drv","cpe:2.3:a:gcc-wrapper:gcc-wrapper:14.3.0:*:*:*:*:*:*:*","pkg:nix/gcc-wrapper@14.3.0",""
"glibc-2.40-66","glibc","2.40-66","/nix/store/2wlbvj13lm5rln4i71b3972lcfd91hzs-2.40-master.patch /nix/store/nc5hqqizlj7042vvhvx121kzf4nwh35p-nix-locale-archive.patch /nix/store/b1w7zbvm39ff1i52iyjggyvw2rdxz104-dont-use-system-ld-so-cache.patch /nix/store/mnglr8rr7nl444h7p50ysyq8qd0fm1lm-dont-use-system-ld-so-preload.patch /nix/store/za0pg7fmysrcwrqcal26fnmzw6vycgdn-fix_path_attribute_in_getconf.patch /nix/store/7kw224hdyxd7115lrqh9a4dv2x8msq2s-fix-x64-abi.patch /nix/store/001gp43bjqzx60cg345n2slzg7131za8-nix-nss-open-files.patch /nix/store/pcpx2ayccijipfl32zchx0mg7rzvj6zx-0001-Revert-Remove-all-usage-of-BASH-or-BASH-in-installed.patch /nix/store/sj0qllprnrmk1cqnnk57vvn2cqgjynbx-reenable_DT_HASH.patch /nix/store/f1qmmr4f6mi99xr5bvfrqmynjx9j038p-0001-localedata-allow-reproducible-parallel-install-of-lo.patch /nix/store/62qh08ij1zvw5lxj69n98lzv0byda0di-0002-Makeconfig-make-inst_complocaledir-overridable.patch","x86_64-linux","/nix/store/xx7cm72qy2c0643cm1ipngd87aqwkcdp-glibc-2.40-66","['/nix/store/gi4cz4ir3zlwhf1azqfgxqdnczfrwsr7-glibc-2.40-66-dev', '/nix/store/q6wgv06q39bfhx2xl8ysc05wi6m2zdss-glibc-2.40-66-bin', '/nix/store/xx7cm72qy2c0643cm1ipngd87aqwkcdp-glibc-2.40-66']","/nix/store/00c0baahgmmfk4084rkv5jk0nw6f849b-glibc-2.40-66.drv","cpe:2.3:a:glibc:glibc:2.40-66:*:*:*:*:*:*:*","pkg:nix/glibc@2.40-66",""
"gmp-6.3.0","gmp","6.3.0","","x86_64-linux","/nix/store/0rxahp0ckjwz7kmnh8vzwfs8ir8yrf5r-gmp-6.3.0","['/nix/store/0rxahp0ckjwz7kmnh8vzwfs8ir8yrf5r-gmp-6.3.0']","/nix/store/q00927vi9b8nad9714r0n64lnm84ai1s-gmp-6.3.0.drv","cpe:2.3:a:gmplib:gmp:6.3.0:*:*:*:*:*:*:*","pkg:nix/gmp@6.3.0",""
"gmp-with-cxx-6.3.0","gmp-with-cxx","6.3.0","","x86_64-linux","/nix/store/2f7yzmvcsydw38zr369l9xpk63v1ld5q-gmp-with-cxx-6.3.0","['/nix/store/2f7yzmvcsydw38zr369l9xpk63v1ld5q-gmp-with-cxx-6.3.0']","/nix/store/bvsj9xixq8n3jnd3nwprbz8qpnawzkpd-gmp-with-cxx-6.3.0.drv","cpe:2.3:a:gmp-with-cxx:gmp-with-cxx:6.3.0:*:*:*:*:*:*:*","pkg:nix/gmp-with-cxx@6.3.0",""
"gnugrep-3.12","gnugrep","3.12","/nix/store/mcgd0wa6sv13ns20f9vh8pp5x5n730ll-gnulib-float-h-tests-port-to-C23-PowerPC-GCC.patch","x86_64-linux","/nix/store/x3zjxxz8m4ki88axp0gn8q8m6bldybba-gnugrep-3.12","['/nix/store/x3zjxxz8m4ki88axp0gn8q8m6bldybba-gnugrep-3.12']","/nix/store/hi1hlj16r6gwpzk8kk3wnmq1wjgyf3jf-gnugrep-3.12.drv","cpe:2.3:a:gnugrep:gnugrep:3.12:*:*:*:*:*:*:*","pkg:nix/gnugrep@3.12",""
"isl-0.20","isl","0.20","","x86_64-linux","/nix/store/kk64v6spb2sfj8br6h729vgqd2d13pn7-isl-0.20","['/nix/store/kk64v6spb2sfj8br6h729vgqd2d13pn7-isl-0.20']","/nix/store/iax6n81y2lg4br9vgbiv8764hl7bc58y-isl-0.20.drv","cpe:2.3:a:isl:isl:0.20:*:*:*:*:*:*:*","pkg:nix/isl@0.20",""
"jemalloc-5.3.0-unstable-2025-09-12","jemalloc","5.3.0-unstable-2025-09-12","/nix/store/z10nkfvwm0608ppi90ww8bhykkrlf5bn-o3-to-o2.patch","x86_64-linux","/nix/store/3ninyn8v6r7g7rblwgjf6k3sw1gjk484-jemalloc-5.3.0-unstable-2025-09-12","['/nix/store/3ninyn8v6r7g7rblwgjf6k3sw1gjk484-jemalloc-5.3.0-unstable-2025-09-12']","/nix/store/kdy67ddpz5qpxm1c788r1jg4bf5bzhlm-jemalloc-5.3.0-unstable-2025-09-12.drv","cpe:2.3:a:jemalloc:jemalloc:5.3.0-unstable-2025-09-12:*:*:*:*:*:*:*","pkg:nix/jemalloc@5.3.0-unstable-2025-09-12",""
"keyutils-1.6.3","keyutils","1.6.3","/nix/store/88a62ypvi5xpa3m8znhrl6l7jc307i8r-conf-symlink.patch /nix/store/z0sjg5c7g1iqb4x5vyiqcm5n68mb5x5p-0001-Remove-unused-function-after_eq.patch /nix/store/p3prlmdjdwlry48i4nmwkxp6qxdi28lm-pkg-config-static.patch /nix/store/d1xybymfx4ad0hy6zv97walg9v1dyzn6-raw","x86_64-linux","/nix/store/6bnkhr93dangq95ms0fb9f8c5y84019c-keyutils-1.6.3","['/nix/store/h7rm00s43k24p73qw7wv1dw8iziqc054-keyutils-1.6.3-lib']","/nix/store/7br8j88y4a7bba1lyddp2c6ikavdnqpg-keyutils-1.6.3.drv","cpe:2.3:a:keyutils:keyutils:1.6.3:*:*:*:*:*:*:*","pkg:nix/keyutils@1.6.3",""
"krb5-1.22.1","krb5-1.22.1","","","","/nix/store/1byrgs1ziv2v030i1z46plpqdn7w0483-krb5-1.22.1","['/nix/store/9z2jg63df52gd4nmbggjcw41cdi4m14p-krb5-1.22.1-lib']","/nix/store/am3iz6iqqva2fp4hbi7bqvlpmrm20kv7-krb5-1.22.1.drv","cpe:2.3:a:krb5-1.22.1:krb5-1.22.1::*:*:*:*:*:*:*","pkg:nix/krb5-1.22.1",""
"libidn2-2.3.8","libidn2","2.3.8","","x86_64-linux","/nix/store/hxcmad417fd8ql9ylx96xpak7da06yiv-libidn2-2.3.8","['/nix/store/hxcmad417fd8ql9ylx96xpak7da06yiv-libidn2-2.3.8']","/nix/store/2zw1y1l2isiv9ww10bdiczbxgqnfmrgr-libidn2-2.3.8.drv","cpe:2.3:a:gnu:libidn2:2.3.8:*:*:*:*:*:*:*","pkg:nix/libidn2@2.3.8",""
"libmpc-1.3.1","libmpc","1.3.1","","x86_64-linux","/nix/store/qpvs11qdbqcx4q41pzmzld9phgbw4vv8-libmpc-1.3.1","['/nix/store/qpvs11qdbqcx4q41pzmzld9phgbw4vv8-libmpc-1.3.1']","/nix/store/nhb0lfgjiqwvjmpi4cz74bxy31akir8v-libmpc-1.3.1.drv","cpe:2.3:a:libmpc:libmpc:1.3.1:*:*:*:*:*:*:*","pkg:nix/libmpc@1.3.1",""
"libpsl-0.21.5","libpsl","0.21.5","/nix/store/4y4zb4vkp98syizhwyx9fwz0svgfbarp-static.patch","x86_64-linux","/nix/store/d3fj7k3aya8slkgm72gn5izyvnlkgx73-libpsl-0.21.5","['/nix/store/d3fj7k3aya8slkgm72gn5izyvnlkgx73-libpsl-0.21.5']","/nix/store/8zl186y6n4phd10y8dgag39273zqaq93-libpsl-0.21.5.drv","cpe:2.3:a:libpsl:libpsl:0.21.5:*:*:*:*:*:*:*","pkg:nix/libpsl@0.21.5",""
"libssh2-1.11.1","libssh2","1.11.1","","x86_64-linux","/nix/store/jrczm01vajmmh23wrzbgk51plwn7lfsi-libssh2-1.11.1","['/nix/store/jrczm01vajmmh23wrzbgk51plwn7lfsi-libssh2-1.11.1']","/nix/store/9lg0dcdbaixizg8ikq30j3id8bdxc6pd-libssh2-1.11.1.drv","cpe:2.3:a:libssh2:libssh2:1.11.1:*:*:*:*:*:*:*","pkg:nix/libssh2@1.11.1",""
"libunistring-1.4.1","libunistring","1.4.1","","x86_64-linux","/nix/store/3rkccxj7vi0p2a0d48c4a4z2vv2cni88-libunistring-1.4.1","['/nix/store/3rkccxj7vi0p2a0d48c4a4z2vv2cni88-libunistring-1.4.1']","/nix/store/2gy21xcjpq5q29crsy10vsv2m5f2513w-libunistring-1.4.1.drv","cpe:2.3:a:libunistring:libunistring:1.4.1:*:*:*:*:*:*:*","pkg:nix/libunistring@1.4.1",""
"libxcrypt-4.5.2","libxcrypt","4.5.2","","x86_64-linux","/nix/store/06dqjacsjv5gdgfhva8k3jjzsx8hx9nq-libxcrypt-4.5.2","['/nix/store/06dqjacsjv5gdgfhva8k3jjzsx8hx9nq-libxcrypt-4.5.2']","/nix/store/r6nabsa27pwsyk0iccz8k64ra1pv54z1-libxcrypt-4.5.2.drv","cpe:2.3:a:libxcrypt:libxcrypt:4.5.2:*:*:*:*:*:*:*","pkg:nix/libxcrypt@4.5.2",""
"linux-headers-6.16.7","linux-headers","6.16.7","/nix/store/69lyjyca86317hdsc1rwf3ahn7s5kiyn-no-relocs.patch","x86_64-linux","/nix/store/7iwv8dcgsjmkrnn752hnfdxh3f7wahmd-linux-headers-6.16.7","['/nix/store/7iwv8dcgsjmkrnn752hnfdxh3f7wahmd-linux-headers-6.16.7']","/nix/store/65bd7a70cq5xf8wh15c7flf6gnb1gfrf-linux-headers-6.16.7.drv","cpe:2.3:a:linux-headers:linux-headers:6.16.7:*:*:*:*:*:*:*","pkg:nix/linux-headers@6.16.7",""
"mpfr-4.2.2","mpfr","4.2.2","","x86_64-linux","/nix/store/czkzgcvcdc0c977cdmhaddyzhwp07x2g-mpfr-4.2.2","['/nix/store/czkzgcvcdc0c977cdmhaddyzhwp07x2g-mpfr-4.2.2']","/nix/store/v0v74axd0b7p9bfyvpar1h79mgxqg53m-mpfr-4.2.2.drv","cpe:2.3:a:mpfr:mpfr:4.2.2:*:*:*:*:*:*:*","pkg:nix/mpfr@4.2.2",""
"nghttp2-1.67.1","nghttp2","1.67.1","","x86_64-linux","/nix/store/x1f92dlc0m0b6ms913n7cfqi8gylhv4i-nghttp2-1.67.1","['/nix/store/cn8ppsx5dns0n4naa4k5sc0siymg41vw-nghttp2-1.67.1-lib']","/nix/store/a7mdj8k2rifz373vpwz0g539syap99vg-nghttp2-1.67.1.drv","cpe:2.3:a:nghttp2:nghttp2:1.67.1:*:*:*:*:*:*:*","pkg:nix/nghttp2@1.67.1",""
"nghttp3-1.12.0","nghttp3","1.12.0","","x86_64-linux","/nix/store/ggxfzhsmd3m54fac5xph7kva38k44mc2-nghttp3-1.12.0","['/nix/store/ggxfzhsmd3m54fac5xph7kva38k44mc2-nghttp3-1.12.0']","/nix/store/wi2p56nzjqbizi3p3daxnshv6qn5ihxy-nghttp3-1.12.0.drv","cpe:2.3:a:nghttp3:nghttp3:1.12.0:*:*:*:*:*:*:*","pkg:nix/nghttp3@1.12.0",""
"ngtcp2-1.17.0","ngtcp2","1.17.0","","x86_64-linux","/nix/store/50b381c1c7h4ll8a40wqh3fcknwpnnck-ngtcp2-1.17.0","['/nix/store/50b381c1c7h4ll8a40wqh3fcknwpnnck-ngtcp2-1.17.0']","/nix/store/6mi0i4pym4xz6zq4c4h5d94572294lxq-ngtcp2-1.17.0.drv","cpe:2.3:a:ngtcp2:ngtcp2:1.17.0:*:*:*:*:*:*:*","pkg:nix/ngtcp2@1.17.0",""
"oniguruma-6.9.10","oniguruma","6.9.10","","x86_64-linux","/nix/store/skb48fs2hygprnp253wgbhyxq4yq6yxc-oniguruma-6.9.10","['/nix/store/3d8riwhf4bn18y0jsqn7vy4p25xbwi3h-oniguruma-6.9.10-lib']","/nix/store/xxn9dkic6iyxa8x331204yk7r2b0557h-oniguruma-6.9.10.drv","cpe:2.3:a:oniguruma_project:oniguruma:6.9.10:*:*:*:*:*:*:*","pkg:nix/oniguruma@6.9.10",""
"openssl-3.6.0","openssl","3.6.0","/nix/store/sq4h6bqjx12v9whvm65pjss25hg1538q-nix-ssl-cert-file.patch /nix/store/cklrwbwi889pp2fdsswdjvn12sdy5i5j-openssl-disable-kernel-detection.patch /nix/store/yk1sqyhb757qc8s0kp0i9wy10v2vq8y7-use-etc-ssl-certs.patch","x86_64-linux","/nix/store/61i74yjkj9p1qphfl7018ja4sdwkipx0-openssl-3.6.0","['/nix/store/61i74yjkj9p1qphfl7018ja4sdwkipx0-openssl-3.6.0']","/nix/store/i9b04l11qz4j0yffk9w9830wljvv72ld-openssl-3.6.0.drv","cpe:2.3:a:openssl:openssl:3.6.0:*:*:*:*:*:*:*","pkg:nix/openssl@3.6.0",""
"pcre2-10.46","pcre2","10.46","","x86_64-linux","/nix/store/6y07blp88mrgn05wxbif8yzmd0g2ss4x-pcre2-10.46","['/nix/store/6y07blp88mrgn05wxbif8yzmd0g2ss4x-pcre2-10.46']","/nix/store/iih5kzmajqy0bywqz12fjaa5bxqnhrmz-pcre2-10.46.drv","cpe:2.3:a:pcre:pcre2:10.46:*:*:*:*:*:*:*","pkg:nix/pcre2@10.46",""
"publicsuffix-list-0-unstable-2025-10-08","publicsuffix-list","0-unstable-2025-10-08","","x86_64-linux","/nix/store/1rd1dikwmy9gnlk5911gf2wf5r8k9wdg-publicsuffix-list-0-unstable-2025-10-08","['/nix/store/1rd1dikwmy9gnlk5911gf2wf5r8k9wdg-publicsuffix-list-0-unstable-2025-10-08']","/nix/store/jx3i1wmys27p11mny9vzl3a4jx620f1c-publicsuffix-list-0-unstable-2025-10-08.drv","cpe:2.3:a:publicsuffix-list:publicsuffix-list:0-unstable-2025-10-08:*:*:*:*:*:*:*","pkg:nix/publicsuffix-list@0-unstable-2025-10-08",""
"rdkafka-2.11.1","rdkafka","2.11.1","","x86_64-linux","/nix/store/nq5by9vwh448lbzhnp7xqcrmlnmndxqw-rdkafka-2.11.1","['/nix/store/nq5by9vwh448lbzhnp7xqcrmlnmndxqw-rdkafka-2.11.1']","/nix/store/ank9r0dkyp50iirhrw8m96yl8n1b5fbq-rdkafka-2.11.1.drv","cpe:2.3:a:rdkafka:rdkafka:2.11.1:*:*:*:*:*:*:*","pkg:nix/rdkafka@2.11.1",""
"vector-0.51.1","vector","0.51.1","","x86_64-linux","/nix/store/6pjsrnpnsvkf6maawq9w5c2nfshv7x7g-vector-0.51.1","['/nix/store/6pjsrnpnsvkf6maawq9w5c2nfshv7x7g-vector-0.51.1']","/nix/store/15f3w17rarp038wv9f8sfb9k8zm8vs8f-vector-0.51.1.drv","cpe:2.3:a:vector:vector:0.51.1:*:*:*:*:*:*:*","pkg:nix/vector@0.51.1",""
"xgcc-14.3.0","xgcc","14.3.0","/nix/store/9577hmdlmhki67cg8ar85cvidyg7xr7p-gcc-12-no-sys-dirs.patch /nix/store/7x6bimj6ipi6ag859gi2fc6by87x37j7-no-sys-dirs-riscv.patch /nix/store/xpplvxiwb4li2qd5nvhyd2mngrpna0ya-mangle-NIX_STORE-in-__FILE__.patch /nix/store/632b0y5mkcdwbsw2g3xh5qznw2vv5axr-ppc-musl.patch /nix/store/3cj8qm3xjz1g5f7qnnxlc95i9imkicbk-cfi_startproc-reorder-label-14-1.diff","x86_64-linux","/nix/store/b9fm5nak3xrg6nhpmclqh45x2z1ssdnq-xgcc-14.3.0","['/nix/store/2a3izq4hffdd9r9gb2w6q2ibdc86kss6-xgcc-14.3.0-libgcc']","/nix/store/bm5kzm1lv0dkrznzc79zl5rwbv71460w-xgcc-14.3.0.drv","cpe:2.3:a:xgcc:xgcc:14.3.0:*:*:*:*:*:*:*","pkg:nix/xgcc@14.3.0",""
"zlib-1.3.1","zlib","1.3.1","","x86_64-linux","/nix/store/l7xwm1f6f3zj2x8jwdbi8gdyfbx07sh7-zlib-1.3.1","['/nix/store/l7xwm1f6f3zj2x8jwdbi8gdyfbx07sh7-zlib-1.3.1']","/nix/store/v7b3w85wjm8w2djd87gq4cfla2sp8gx0-zlib-1.3.1.drv","cpe:2.3:a:zlib:zlib:1.3.1:*:*:*:*:*:*:*","pkg:nix/zlib@1.3.1",""
"zstd-1.5.7","zstd","1.5.7","/nix/store/6k4n3g5jahyxqn6m7bdviydxibzp7xx1-playtests-darwin.patch /nix/store/d3gh8y8k0y5kq8pxd8hmjsall6rzympc-man-fix.patch","x86_64-linux","/nix/store/s7vmxmhkq439cjb7ag9w198p6dk7kl0w-zstd-1.5.7","['/nix/store/s7vmxmhkq439cjb7ag9w198p6dk7kl0w-zstd-1.5.7']","/nix/store/8brm4045abq27fa7i2v68yx2q5d70mdr-zstd-1.5.7.drv","cpe:2.3:a:zstd:zstd:1.5.7:*:*:*:*:*:*:*","pkg:nix/zstd@1.5.7",""
